Año,Entidad,Distrito,Puesto,PAN,PRI,PRD,VERDE,PT,MOV. CIU.,NUEVA ALIANZA,MORENA,HUMANISTA,ENC. SOC,INDEP.,ALTERNATIVA,No registrados,Votos nulos
2015,Sonora,NOGALES,Diputado,39913,32606,2153,2847,2053,6305,3480,2657,499,1184,0,0,338,3160
2015,Sonora,HERMOSILLO 1,Diputado,49735,44494,2796,4172,1420,4073,3515,5701,1537,2499,0,0,102,4937
2015,Sonora,GUAYMAS,Diputado,46563,48780,7526,4662,2447,2488,5994,4504,507,1426,0,0,38,4905
2015,Sonora,HERMOSILLO 2,Diputado,41605,43583,2242,3085,1387,2941,2420,3982,1107,1879,0,0,70,3785
2015,Sonora,CAJEME,Diputado,29161,54123,2205,2749,1005,9379,4712,4955,1440,1742,0,0,60,3428
2015,Sonora,NAVOJOA,Diputado,52836,58444,7656,2497,977,1276,3907,2900,335,849,0,0,66,3678
2015,Chihuahua,JUAREZ 1,Diputado,12933,28679,3922,8460,1832,3418,7196,8426,2668,4388,0,0,526,5.928
2015,Chihuahua,JUAREZ 2,Diputado,6576,18200,3088,3201,882,1097,3435,3890,1032,2058,0,0,57,4.853
2015,Chihuahua,JUAREZ 3,Diputado,21383,15984,1541,5660,1293,2916,5188,7531,2041,3252,1707,0,215,4.830
2015,Chihuahua,JUAREZ 4,Diputado,9255,16838,1548,3999,2408,3256,4545,4449,1611,2151,0,0,56,3.855
2015,Chihuahua,DELICIAS,Diputado,37295,51074,3713,3252,2639,1633,9541,5419,1043,1952,0,0,104,5.146
2015,Chihuahua,CHIHUAHUA 1,Diputado,41932,29615,1718,4739,2288,6076,6437,6857,2797,4073,0,0,324,7.498
2015,Chihuahua,CUAUHTEMOC,Diputado,20582,35340,4367,5209,2399,1007,5147,3900,800,2631,0,0,667,4.702
2015,Chihuahua,CHIHUAHUA 2,Diputado,23700,27512,2451,6510,2744,4681,7885,6765,2690,4009,0,0,212,6.261
2015,Chihuahua,HIDALGO DEL PARRAL,Diputado,14168,31312,926,2008,962,817,6402,1463,549,924,0,0,36,3.772
2003,Nuevo Leon,SANTA CATARINA,Diputado,58708,70760,3036,0,4749,0,0,0,0,0,0,0,17,4065
2003,Nuevo Leon,APODACA,Diputado,51081,103271,5365,0,8190,0,0,0,0,0,0,0,402,6886
2003,Nuevo Leon,GRAL. ESCOBEDO,Diputado,49263,65076,2366,0,5830,0,0,0,0,0,0,0,37,3778
2003,Nuevo Leon,SAN NICOLAS DE LOS GARZA,Diputado,62218,48225,2566,0,6167,0,0,0,0,0,0,0,27,3292
2003,Nuevo Leon,MONTERREY 1,Diputado,19467,68362,1095,0,9119,0,0,0,0,0,0,0,341,5387
2003,Nuevo Leon,MONTERREY 2,Diputado,46482,51740,2278,0,5689,0,0,0,0,0,0,0,16,2663
2003,Nuevo Leon,MONTERREY 3,Diputado,33373,51584,2193,0,4374,0,0,0,0,0,0,0,100,4593
2003,Nuevo Leon,GUADALUPE 1,Diputado,43282,53247,2589,0,6033,0,0,0,0,0,0,0,12,3472
2003,Nuevo Leon,LINARES,Diputado,39805,70883,1614,0,14083,0,0,0,0,0,0,0,12,6979
2003,Nuevo Leon,MONTERREY 4,Diputado,41153,43444,2490,0,5693,0,0,0,0,0,0,0,24,2735
2003,Nuevo Leon,GUADALUPE 2,Diputado,43143,57376,3112,0,5879,0,0,0,0,0,0,0,70,3725
2003,Nuevo Leon,CADEREYTA JIMENEZ,Diputado,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,Sonora,SAN LUIS RIO COLORADO,Diputado,43506,44640,11654,0,1781,0,0,0,0,0,0,0,8,2593
2003,Sonora,NOGALES,Diputado,41496,46961,4761,0,1463,0,0,0,0,0,0,0,31,3043
2003,Sonora,HERMOSILLO 1,Diputado,59145,39282,3955,0,1792,0,0,0,0,0,0,0,363,2856
2003,Sonora,GUAYMAS,Diputado,22024,38346,20696,0,2812,0,0,0,0,0,0,0,288,3900
2003,Sonora,HERMOSILLO 2,Diputado,51341,34991,3401,0,2049,0,0,0,0,0,0,0,23,2186
2003,Sonora,CAJEME,Diputado,44726,37862,13470,0,911,0,0,0,0,0,0,0,475,4231
2003,Sonora,NAVOJOA,Diputado,25742,45169,25049,0,791,0,0,0,0,0,0,0,12,4662
2003,Chihuahua,JUAREZ 1,Diputado,17526,26891,6162,0,2175,0,0,0,0,0,0,0,214,2454
2003,Chihuahua,JUAREZ 2,Diputado,27892,33091,2582,0,849,0,0,0,0,0,0,0,31,3254
2003,Chihuahua,JUAREZ 3,Diputado,38718,44600,3624,0,1801,0,0,0,0,0,0,0,42,3810
2003,Chihuahua,JUAREZ 4,Diputado,31088,54099,3970,0,2821,0,0,0,0,0,0,0,60,5110
2003,Chihuahua,DELICIAS,Diputado,34816,30199,5912,0,2713,0,0,0,0,0,0,0,29,3338
2003,Chihuahua,CHIHUAHUA 1,Diputado,47651,46744,4900,0,2272,0,0,0,0,0,0,0,56,3338
2003,Chihuahua,CUAUHTEMOC,Diputado,16319,23650,3385,0,928,0,0,0,0,0,0,0,11,1949
2003,Chihuahua,CHIHUAHUA 2,Diputado,26941,35588,10718,0,1673,0,0,0,0,0,0,0,463,3219
2003,Chihuahua,HIDALGO DEL PARRAL,Diputado,25149,29340,2094,0,1368,0,0,0,0,0,0,0,8,2251
