Año,Entidad,Distrito,Puesto,PAN,PRI,PRD,VERDE,PT,MOV. CIU.,NUEVA ALIANZA,MORENA,HUMANISTA,ENC. SOC,INDEP.,ALTERNATIVA,No registrados,Votos nulos,,,Total Votos,,,,,,,,,
2012,Nuevo Leon,GUADALUPE 1,Senador,58039,56699,20631,3509,0,0,7340,0,0,0,0,0,152,8048,,,154418,,,,,,,,,
2012,Nuevo Leon,LINARES,Senador,44196,78990,18429,2602,0,0,20322,0,0,0,0,0,91,13362,,,177992,,,,,,,,,
2012,Nuevo Leon,MONTERREY 4,Senador,59943,41481,19482,2760,0,0,4670,0,0,0,0,0,197,7889,,,136422,,,,,,,,,
2012,Nuevo Leon,GUADALUPE 2,Senador,50743,57897,20360,3674,0,0,7040,0,0,0,0,0,143,8552,,,148409,,,,,,,,,
2012,Nuevo Leon,CADEREYTA JIMENEZ,Senador,78060,112722,39454,5589,0,0,11867,0,0,0,0,0,500,14169,,,262361,,,,,,,,,
2012,Sonora,SAN LUIS RIO COLORADO,Senador,59598,47662,19780,2641,0,0,1964,0,0,0,0,0,40,8486,,,140171,,,,,,,,,
2012,Sonora,NOGALES,Senador,50604,56369,22720,3168,0,0,2164,0,0,0,0,0,118,10333,,,145476,,,,,,,,,
2012,Sonora,HERMOSILLO 1,Senador,54349,54559,18290,1552,0,0,2324,0,0,0,0,0,107,7173,,,138354,,,,,,,,,
2012,Sonora,GUAYMAS,Senador,42766,49721,36433,2915,0,0,4236,0,0,0,0,0,166,10198,,,146435,,,,,,,,,
2012,Sonora,HERMOSILLO 2,Senador,55334,53524,17843,1376,0,0,1550,0,0,0,0,0,126,6934,,,136687,,,,,,,,,
2012,Sonora,CAJEME,Senador,39344,74066,37025,2200,0,0,2299,0,0,0,0,0,139,11494,,,166567,,,,,,,,,
2012,Sonora,NAVOJOA,Senador,56163,51292,31324,1627,0,0,2177,0,0,0,0,0,33,10112,,,152728,,,,,,,,,
2012,Chihuahua,JUAREZ 1,Senador,33309,55088,39109,11508,0,0,8300,0,0,0,0,0,289,15812,,,163415,,,,,,,,,
2012,Chihuahua,JUAREZ 2,Senador,18462,30729,18575,5071,0,0,3757,0,0,0,0,0,248,9032,,,85874,,,,,,,,,
2012,Chihuahua,JUAREZ 3,Senador,41684,34757,30940,7063,0,0,6501,0,0,0,0,0,187,9718,,,130850,,,,,,,,,
2012,Chihuahua,JUAREZ 4,Senador,20880,29873,23310,5860,0,0,4894,0,0,0,0,0,272,9495,,,94584,,,,,,,,,
2012,Chihuahua,DELICIAS,Senador,51706,69208,20548,5338,0,0,7912,0,0,0,0,0,487,12209,,,167408,,,,,,,,,
2012,Chihuahua,CHIHUAHUA 1,Senador,64635,56724,20286,6789,0,0,7690,0,0,0,0,0,224,12483,,,168831,,,,,,,,,
2012,Chihuahua,CUAUHTEMOC,Senador,30707,58373,26244,5825,0,0,5679,0,0,0,0,0,177,12866,,,139871,,,,,,,,,
2012,Chihuahua,CHIHUAHUA 2,Senador,53133,57617,22385,9098,0,0,9560,0,0,0,0,0,484,14195,,,166472,,,,,,,,,
2012,Chihuahua,HIDALGO DEL PARRAL,Senador,26031,55819,7032,2595,0,0,4456,0,0,0,0,0,475,10313,,,106721,,,,,,,,,
